DATE,Employment,Prices,Consumption,Manufacturing,Construction,Lending,Uncertainty,Resources,Transportation,Outlook,Labor,Capital,Trade,Recession
1970-05-01,0.7658200629912029,0.42626101245998665,-0.04656509477717157,-0.7256944175089616,-1.0405392323442906,-1.7739434055729006,-0.11582716611268762,-1.2859317843494946,0.1457606444265704,1.1706487374600953,1.0361834840266606,1.262179635516857,-0.36864644733223184,1
1970-06-01,2.1378737971939934,0.5946162022551074,0.918975841043589,0.43838877781258084,-0.8839920366971021,-0.6015692776808031,0.09038028870914247,-1.589187147442451,-0.2537000137686954,2.346300247302499,0.7563752464555429,2.051566766179429,-0.5885244044973955,1
1970-07-01,1.451846930092598,-0.24715974672049634,0.11435839452628853,-0.4928777784446531,-1.0405392323442906,-1.5785477175908844,-0.5282420757563477,-1.589187147442451,-0.6531606719639612,0.778764900845961,0.616471127669984,2.051566766179429,-0.36864644733223184,1
1970-08-01,2.595225041928257,-0.24715974672049634,-0.5293355626875519,0.43838877781258084,-1.1970864279914788,-0.9923606536448356,-0.7344495305781779,-0.982676421256538,-0.05396968467106249,1.56253257407423,-0.08304946625781048,2.446260331510715,-0.14876849016706817,1
1970-09-01,1.9091981748268616,0.9313265818453489,-0.8511825412944721,-0.4928777784446531,-1.1970864279914788,-1.5785477175908844,-0.940656985400008,-1.2859317843494946,-0.6531606719639612,-0.7887704456105771,-0.08304946625781048,1.262179635516857,-0.5885244044973955,1
1970-10-01,0.9944956853583345,-0.4155149365156171,-0.8511825412944721,-0.9585110565732701,-1.0405392323442906,-0.9923606536448356,-0.940656985400008,-0.6794210581635814,-0.2537000137686954,-0.7887704456105771,1.1760876028122194,1.262179635516857,-0.5885244044973955,1
1970-11-01,1.6805225524597298,0.2579058226648659,0.918975841043589,0.20557213874827235,-0.8839920366971021,-1.187756341626852,-0.5282420757563477,-1.2859317843494946,-0.4534303428663283,0.38688106423182644,1.595799959168896,0.47279250485428514,-0.5885244044973955,1
1970-12-01,0.9944956853583345,0.42626101245998665,0.43620537313320873,0.6712054168768893,-1.3536336236386672,-0.9923606536448356,-0.5282420757563477,-1.589187147442451,-0.6531606719639612,-0.005002772382308064,-0.08304946625781048,-0.3165946258082868,-0.5885244044973955,0
1971-01-01,0.3084688182569394,0.9313265818453489,0.43620537313320873,-0.027244500316036126,-1.1970864279914788,-0.9923606536448356,-0.5282420757563477,-0.6794210581635814,-0.6531606719639612,0.778764900845961,0.1967587713133073,0.8674860701855711,-0.5885244044973955,0
1971-02-01,0.3084688182569394,0.08955063286974516,-0.5293355626875519,-0.4928777784446531,-1.1970864279914788,-1.187756341626852,-0.7344495305781779,-0.982676421256538,-0.4534303428663283,-0.39688660899644257,-0.08304946625781048,0.47279250485428514,-0.36864644733223184,0
1971-03-01,0.3084688182569394,0.08955063286974516,0.43620537313320873,-0.4928777784446531,-1.3536336236386672,-0.7969649656628194,-0.3220346209345177,-1.589187147442451,-0.6531606719639612,1.1706487374600953,-0.22295358504336937,2.051566766179429,-0.5885244044973955,0
1971-04-01,0.9944956853583345,-0.7522253161058586,-0.04656509477717157,-0.027244500316036126,-1.0405392323442906,-0.9923606536448356,-0.5282420757563477,-1.2859317843494946,-0.6531606719639612,-0.39688660899644257,-0.3628577038289283,1.262179635516857,-0.36864644733223184,0
1971-05-01,0.3084688182569394,0.08955063286974516,-0.690259051991012,-0.4928777784446531,-1.5101808192858557,-1.187756341626852,-0.3220346209345177,-1.2859317843494946,-0.6531606719639612,-0.005002772382308064,0.05685465252774841,0.8674860701855711,-0.5885244044973955,0
